id,name,address,
1,花泉歯科医院,東京都千代田区三番町7-2-101,
2,日本歯科大学附属病院,千代田区富士見２−３−１６,
3,東京歯科大学,千代田区神田三崎町２−９−１８,
4,学校法人東京歯科大学 東京歯科大学水道橋病院,千代田区三崎町２−９−１８ ＴＤＣビル６Ｆ,
5,日本大学歯学部,千代田区神田駿河台１−８−１３,
6,日本大学歯学部法医学講座,千代田区神田駿河台１−８,
7,日本歯科大学生命歯学部,千代田区富士見１−９−２０,
8,東京歯科大学,千代田区三崎町２−９−１８,
9,日本大学歯学部,千代田区神田駿河台１−８−１３ １号館４１０,
10,日本大学歯学部医療人間科学教室,千代田区神田駿河台1-8-13,
11,日本歯科大学生命歯学部,千代田区富士見1-9-20,
12,日本歯科大学生命歯学部,千代田区富士見１−９−２０,
13,日本歯科大学,千代田区富士見２−３−１６,
14,日本大学歯学部,千代田区神田駿河台1-8-13,
15,日本大学歯学部,千代田区神田駿河台1-8-13,
16,医療法人財団益習会 赤坂歯科診療所,千代田区平河町２−６−３都道府県会館内,
17,２in１デンタルクリニック,千代田区飯田橋３−９−３ＳＫプラザ１Ｆ,
18,アール・デンタル・オフィス,千代田区神田駿河台２−１−７ノアーズアークお茶の水５Ｆ,
19,医療法人愛育会 大手町ビル歯科,千代田区大手町１−６−１大手町ビル１Ｆ,
20,海上ビルデンタルクリニック,千代田区丸の内１−２−１東京海上日動ビル新館３１０号,
21,三菱UFJ銀行健康センター（本館）歯科,千代田区丸の内２−７−１三菱UFJ銀行丸の内本館２２F,
22,医療法人社団親光会 パレスサイドビル歯科,千代田区一ツ橋１−１−１,
23,医療法人社団浩昭会 丸の内永楽ビル歯科クリニック,千代田区丸の内１−４−１丸の内永楽ビルB1,
24,医療法人社団浩昭会 パシフィックセンチュリープレイス丸の内デンタルクリニック,千代田区丸の内１−１１−１パシフィックセンチュリープレイス丸の内２０３,
25,第一生命日比谷診療所歯科,千代田区有楽町１−１３−１本館２階,
26,医療法人社団 近藤歯科医院,千代田区大手町１−３−２大手町カンファレンスセンターＢ１Ｆ,
27,医療法人社団東杏会 丸ビル歯科,千代田区丸の内２−４−１丸の内ビルディング１１Ｆ１１０１区,
28,医療法人社団協立歯科 協立歯科クリニーク デュボワ,千代田区内幸町１−１−１帝国ホテルプラザ４Ｆ,
29,医療法人社団日瑞会 長谷川歯科医院,千代田区内幸町１−２−２日比谷ダイビル２F,
30,古市歯科医院,千代田区永田町２−１１−１山王パ−クタワ−２５１４区,
31,酒井歯科,千代田区有楽町２−１０−１東京交通会館３Ｆ,
